"Six Million Lies

"
"#Thot learns what #Mudshark Sunglasses are.



"
"WTF I love equality now!  Now #Wamen can die for #Israel too!

#DraftOurDaughters
#DaughtersForIsrael

(Watch the birthrate explode as women get pregnant to avoid deployment.)

"
"The #UK to force 5-year-old boys to learn the joys of wearing dresses and sterilizing themselves.

"
"African water systems sans ""white devils""!"
"Where Were You In The War Against Wakanda?

"
"Baltimore Blacks Push Laws So Blacks Don’t Have To Pay Water Bills

"
I'm growing quite fond of this idea of reparations. Discussion of such an idea might spur independent research on a couple topics near and dear to Americans.
In 15 years my town went from all light to all fucking Brown it is totally disgusting I think they should be exterminated just like cockroaches because that's what they are dirty scum cockroaches
Maybe not this time around but it’s clear to see where this anti-white train is headed. As the USA becomes browner and whites become a minority how do you think things will be for whites?
"Buy stock in Newport cigarettes, Nike, cooking oil, Mercedes/BMW, gold teeth, and crack lots of crack."
"Good, they should start negotiations with their Jewish masters immediately."
Gee I wonder. Maybe because they cannot do civilization on their own?
You’re eating up a bunch of jew lies. These were men that just wanted their fucking country back. The same as Americans and Europeans that want to keep their nations free of invading hordes of brown people. It’s not hate to want to have a nation. Maybe you should stop watching jew movies like the ridiculous Schindler’s List.
"If you want to give reparations go blow some groids downtown. I’m sure they will appreciate it. The rest of us will say fuck off. None of us owned slaves. My ancestors never owned a slave. None of the blacks alive today were slaves. You think reparations would solve race relations or even improve them one bit? You must be insane. The only thing that can solve race relations is separation from these apes.

www.newnation.org"
"Yeah, all three of them. 😂"
"A lot of it was jewish slave traders bringing slaves to America to pick cotton for jewish clothing manufacturers.

"
Lying through their teeth for votes when they KNOW 'reparations' were Constitutionally banned in the 1960s.
You’re a fucking idiot. The only thing blacks should get for free is a one way ticket to Africa.
"Come together? Are you some dumb boomer hippy? Blacks and whites can never “come together”. What we need is separation. Living with blacks has degraded and destroyed our cities, communities and culture. They have been a massive drain on our society. We are vastly different people. I would say dfferent species. You don’t even hear about all the crime they commit because the jewish media wants to frame whites as evil. But you can visit this website to see all the black crime that goes unreported in national media.

www.newnation.org"
That’s right just as Adolf Hitler and theNational Socialists are considered the epitome of pure evil today because you have been fed a constant diet of slander and lies about them by the jewish controlled media.
"Isn’t It Time You Pay Up Whitey?

"
"Great Article Explains How The USA Was Destroyed From Within

"
"Time To Face Reality

You Live In A Jewish Homo Hellscape

"
"Blacks and spanish? 

The USA was built by white men for fucks sake.

Next you’ll be telling me European nations weren’t  just white people."
"You know it’s true.

"
You’ve got to be fucking joking. We need a lot more than Trump to save this country. We can’t even get a  fucking wall. This isn’t about America. This is about white genocide and it’s global.
"What are they doing in Kenya when Britain is being invaded by blacks and muzzies?

It’s like US marines fighting in the Middle East while the USA is being overrun with illegal and legal immigration.

So ridiculous."
"Seeing Anti-white Messages In Advertising?

Now you can report it.

"
"What the #Jews have done to Ireland.

 

#GemmaODoherty"
"Hitler Was Right to expel the Jews from Europe. 

The #TransferAgreement

"
"#Anon is quoting you 

"
"What happens #Christians believe in the false #God of equality, and give #WomenRights?

#RepealThe19th

"
"If You Like Having Sex With Blacks It’s OK. Durex Has You Covered.

"
"New TeeVee program for the history #Sweden's first settlers.

I think they are trying to out Netflix, #Netflix with these blue-eyed Somalians.

"
"Do Jews Run America?

I don’t know. Let’s ask Chuck Schumer.

"
"Chuck Schumer EXPOSED

"
Well that’s an interesting response.
"Another Day In Negroland

"
"Psychopathic bug people creating unmanned killer robots.

What could go wong?"
"*Violent #Jewish seizure sounds*

"
Discussion of #AIPAC is going viral on #Twitter as people start noticing (((coincidences))).
"#Jews are calling people #antiSemites for saying that #Israel gives money to #Congress.

It turns out #AIPAC itself is an #antiSemitic organization since they suggest that very thing on their own website.

"
