Epic response video to Prager U ridiculousness coming Wednesday 6:30am PST
 one issue with #dissenter is that it creates different comment sections for each variation of a url. For example:    and  each have different comment sections. Now imagine all the mobile web addresses added to that mix. Maybe an easy fix? I haven’t coded shit in years.
"""the suggestion that there’s ever going to be civil discourse in this country for the foreseeable future in this country is over. It’s not going to be. It’s going to be total war. And as I say to my friends, I do two things – I vote and I buy guns.”

"
" A feature I would LOVE to see on gab is the feature that twitter has that allows you to paste image data directly into a post and have it understand it as an image and upload. For example, if i take a screenshot with the snipping tool in windows i can ctrl+C and then go to a tweet I'm typing and ctrl+V and it just drops in as an image. Same happens with a copied selection in photoshop etc. With gab I have to save the screenshot as a file then upload. Would love that step removed."
Want to know what America will look like once the right is permanently out of power? This is what a decade of low IQ leftism did to Detroit:
"Yes, but republicans chose NOT to defund planned parenthood when they had the chance, right around the same time they decided NOT to fund the wall. The fact that it takes literal baby murder to make the two parties disagree is what's really fucking disgusting."
"America is MY Zion. MY Holy Land. Where MY ancestors fled persecution and wandered the wilderness. It's MY Promised Land, and I promise I will defend it against carpetbaggers that seek to use what's mine as a lure to attract halfwit debt slaves to pay their debts and soldiers to fight their wars."
"Search ""Qanon"" on eBay

13,786 results

(◔_◔)"
You got that??? EVERY NATION BUT YOURS!
Jeb Knew...
This is actually a great starting point. Interesting that the states most affected by immigration are the states that want to secede.
"Is Q telling its sad little zombie crew that toppling Maduro is ""part of the Plan?"" LOL"
"I will be LIVE in 2 hours (8 est) with John Mark for the 4th Pillstream. Don't miss it.
"
"Every time YouTube puts a video in ""limited state"" I'm going to promote it. This one is Steve Pieczenik discussing the Holocaust industry and Mike Pence bending the knee to groups related to Jared Kushner.

"
Our culture has now devolved so deep into the third world we're using fucking cave drawings in court.
"I bet you didn't know:

We borrow the money that we give to Israel from the Federal Reserve.

Israel deposits it back into the Fed and earns interest on it.

The Fed then loans it back out to us (charging us more interest).

Israel and the Jewish families that run the New York Fed make millions and millions in interest for doing nothing that they then funnel into AIPAC.

AIPAC uses this money to make sure we keep giving money to Israel.

All this while we are 22 trillion in debt and Israel has a budget surplus."
"One of the most important standing orders that ""alt media pundits"" who are funded by billionaires have is to only engage with people on the opposite (and same) side who are also funded by billionaires."
"Serious question: How is the justification for having a ""Black"" History Month ANY different than the justification for having a ""Special"" Olympics?"
"Im pretty sure as President,Trump can (and should) do something more than tweet about this. If he fails to act we have far bigger problems than a failed coup."
"My daughter just ran into a gentleman dressed as a lady in the women’s restroom at Burger King. She said he was acting pretty sketchy but didn’t do anything overtly wrong. 

As a father, this bothers me tremendously."
"Creighton Elementary 1968 vs 2016, spot the difference!"
Says the guy who refuses to jail members of a coup that JUST tried to subvert the country he is president of. The same country that has been hijacked by organized crime and foreign interests. The same country that has been committing war crimes around the world for decades. Do I need to keep going?
Not just coup attempts but actual coups that succeed. See 1963.
"This video about Jordan Peterson and the JQ was placed in limited state by the Bolsheviks at YouTube so it's probably good. I'm taking a gander at it now:

"
"Things are escalating:

Man Pulls Gun on Victim for Wearing MAGA Hat

"
The one time they say it's OK to have children and look at the photo. So predictable.
America: The only country in the world where the ruling class is so incestuous that even a coup attempt goes unpunished.
"""a perfect moment to reflect on America's Founding and the values for which it stood.""

Notice the past tense?"
"A Box of Chocolates

"
"Tanzanian Refugees Arrested for Gang Rape of 18-Year-Old Idaho Woman

Diversity is your strength whitey!

"
"NEW VIDEO: ""A Box of Chocolates"" 
Why Hollywood hates Christianity and seeks to erode free agency and personal responsibility. An examination of the subversion in Forest Gump
"
"NEW VIDEO: ""A Box of Chocolates"" 
Why Hollywood hates Christianity and seeks to erode free agency and personal responsibility. An examination of the subversion in Forest Gump
"
This is something that will only get worse. The Trump administration should have acted when it was just platforms like Twitter and Youtube deplatforming people. Their inaction has emboldened the enemy and it will continue to escalate.
I'm going to ban hammer Q-tards Owen Benjamin style moving forward.
So is it just me or is Gab really overrun with Q retards? I thought they mostly went away but it seems like they just all came to Gab.
I wonder if Trump will finally do something about internet censorship now that they are censoring him the way they have his supporters for over 2 years straight... ...I'm sure he'll get right on that just as soon as he's done building the wall.
"I wonder how many of your tax dollars went to building the wall in Israel... ..you know, the WORLD'S LONGEST CONCRETE WALL they are building with the help of your money. That's right, none of this pussy ""physical barrier"" nonsense Trump can't seem to get built, a real chad wall.

"
"If only Blermpf had listened to his son, rather than his son-in-law..."
"Oh, but fuck me right?"
"Womp womp, too bad his last name wasn't Clinton, otherwise Trump would make sure he NEVER went to prison."
#TeamAnn - Trump Rejecting Ann Coulter's Wise Counsel—Even Though Listening To Ann Coulter Got Him The Presidency - 
"Anyone you follow acting like today Trump was ""owning the libs"" is fucking retarded or actively working against you. Just letting you know now. We pulled off some amazing shit getting Trump elected but turns out he was too much of a boomer faggot to #DrainTheSwamp #LockHerUp or #BuildTheWall (or maybe never intended to in the first place). You never know with a man who fucks an ugly porn star that belongs to a sex cult while his supermodel wife is at home with his newborn baby.

He will play games with the low IQ MAGA crowd and celebrate every 15 feet of fencing that winds up being put up with boomer memes on Twitter as he boasts record low Hispanic unemployment while Texas completes it's conversion to blue, we grant defacto amnesty to never-ending waves of new low IQ leftists, and the right steadily loses all political power forever.

He and his foreign loyalty donors are on their own now. Fuck em. My focus is going to shift to getting people ready for what I already thought was likely coming but I was hoping we could avoid."
"Next time you argue with a faceless ""person"" on the internet, consider the possibility they aren't a person at all.
"
Womp womp
