"Ayn Rand tried to convince the goyim that ""Nazism"" was bad but selfish individualism was good. "
"From now on, EVERYTHING the left says is a conspiracy theory. Make it so.
White privilege 👈🏻CONSPIRACY THEORY! 
Diversity is a strength 👈🏻CONSPIRACY THEORY!
Israel is our greatest ally 👈🏻 CONSPIRACY THEORY! 
IQ isn't 80% hereditary by age 30 👈🏻 CONSPIRACY THEORY! 
All races are equal 👈🏻 CONSPIRACY THEORY! 
There are more than 2 genders 👈🏻 CONSPIRACY THEORY!"
"if you have to look over your shoulder before you voice your opinion on culture or politics, you live in a communist country."
"So fucking what? 

They are not your vassals. They can associate with whoever the hell they want to associate with. And Joachim is free to say whatever the hell he wants to say about you. You should have just ignored them all and market yourself to the MAGApedes with your ""Outlaw Conservative"" rebranding. 

You don't fucking team up with antifa and get WN streams shut down. Goy Talk was even friendly towards you and they got shoahed thanks to your treason."
"How the fuck was Goy Talk trying to destroy your business? 

Dino made a good-faith effort to reach out to you and gave you a chance to explain your pro-GOP position to his listeners. I thought it was a good discussion even though I didn't agree with you. 

I see Dino's efforts were for nothing. I hope no one forgets this."
"'Goy Talk LIVE' is now livestreaming on The \/anguard Streaming Network!

Tune in here: "
"'Goy Talk LIVE' is now livestreaming on The \/anguard Streaming Network!

Tune in here: "
"""Judge Spares Pedophile Antifa Leader Prison Term Because He’s ‘Trying to Change’""

"
"Why do you geriatric shits use ""unemployed"" as an insult? Services today are 400% more expensive compared to the 1970s. College tuition (even state schools), 1000%. Housing, 1000%. Who fucked these things up? Not my generation, but yours.

It's funny how you ONLY insult white kids this way (who will soon be racial minorities), never blacks or hispanics."
"Don't miss tonight's new episode of 'Goy Talk LIVE'  10pm EST on The \/anguard Streaming Network!

Tune in here: "
"Don't miss tonight's new episode of 'Goy Talk LIVE'  10pm EST on The \/anguard Streaming Network!

Tune in here: "
Don't ever let anyone tell you otherwise!
This is actually a great starting point. Interesting that the states most affected by immigration are the states that want to secede.
"The Myth of the “Skilled Immigrant”: Third World College Degrees Worthless, New US Immigration Study Reveals "
"The same white MAGA voters who support Black Power salutes are the first to condemn anything to do with white empowerment. They love when Trump cucks for black identity politics, but hate white identity."
"Goy Talk dindu nuffin wrong! I (Dino) was very respectful while he was a guest last Thursday, and even allowed him to come back to explain his side of the story after he had rage quit early in the show because of some of the comments towards him in the chat. I could have very easily used that as an opportunity to clown on him, but I didn't. I also took wrenches away from regular viewers (per his request) as a compromise in order for him to return and defend himself. I usually try to avoid the drama and stay focused on the bigger picture, but what he's doing right now is way out of line. This also reflects badly on us all. These kikes are rubbing their hands profusely and getting great pleasure out of seeing this shit show unfold."
"- illegal border crossings back up to Obama's levels

- no end to birthright citizenship

- no border wall

- fewer miles of border fence built than Obama

- no e-verify

And that's just illegal immigration. Orange Nigger is busy trying to stuff this country with legal parasites, too.

So much winning y'all!"
"I made this a few weeks ago, but forgot to post it. I'm sure you all will get a lot of use out of it moving forward with all of the cope posting we see from the delusional Trump supporters."
"-It's illegal to hate anyone as a white person. (We ARE encouraged to hate ourselves and other white people). 
-Hate is a thought crime and an emotion crime. To even feel these natural instincts and reactions is against the law.
-We can only think happy thoughts about non-whites at all times. 
-For whites, preferring our own race is hate. 
-For non-whites to prefer their own is love. 
-It is non-whites decision to declare what is or isn't a hate crime.
-Whites defending themselves from non-whites is a hate crime.
-There is no such thing as a hate crime against white people. "
