"Wow how can POTUS TRUMP 🇺🇸 COMPETE WITH THE CROWDS 😱😀😅😅😅😅 #TRUMP2020🇺🇸
"
"SOY BOY commie retarded idiot 😮
"
"Go France don't give up like the UK 👍✊🇺🇸
"
"Praying for you and your family 😇
"
"POTUS TRUMP 🇺🇸✊ 😎 needs to pardon this man 😀 I recommend reading ""Hillary's America"" the evil that is the Democratic party has been perfectly refined over the centuries 😈
"
"Seriously we need a Northern border wall 😕
"
"God Bless America and our POTUS TRUMP 🇺🇸✊ 😎👍
"
"Killing these people in the civil war would be a kindness 😳
"
"Next voter ID 🇺🇸✊😎
"
"Agreed shut it down ✊🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
"
"These niggers need to be executed 💀🙋
"
"This is fucking AWESOME 😁👍 🇺🇸✊ 😎 Put on top of the Washington Monument 😍😀
"
"Sue them for every dime 💩👍 Maybe we can get rid of CNN after all 😁 would be a good 4th of July present to America 👍🎆🎉🎇🇺🇸🙋
"
"Way to go Brazil 👍👏🇺🇸 #FuckTheFaggotMafia💩🖕
"
"We should trade these people for the braindead kids here 🙄 let the spoiled brats live in the commie utopian nation 🙋
"
"Keep shooting yourselves in both feet leftist 👍
"
"That's how you deal with Antifa 💩🖕😁👍🇺🇸
"
"At a super-charged rally in El Paso, Texas, Trump called the Green New Deal — environmental brainchild of New York Democratic Rep. Alexandria Ocasio-Cortez — braindead, saying it “sounds like a high school term paper that got a low mark"""
Winter in MI... not as pretty. Lol 
Yeah we have been working on redesigning this for about a month now. Getting notifications rebuilt and live first then moving to this. 
"No Union Saved

"
😂😂😂😂
"So now Dems are into price fixing???

Cory Booker Wants Govt To Drastically Increase Cost Of Meat To Encourage Veganism

"
"Victor Davis Hanson: ""America seemingly no longer believes in striving to achieve a gender-blind, racially and religiously mixed society, but instead is becoming a nation in which tribal identity trumps all other considerations. . . . What once helped to diminish ancient prejudices was the American creed that no one had a right to discriminate against fellow citizens on the basis of race, gender, class or religion. And what fuels the return of American bias is the new idea that citizens can disparage or discriminate against other groups if they claim victim status and do so for purportedly noble purposes.""

"
"Florida man accused of being fake doctor claiming to cure diabetes.

  Sent via the FOX 10 Phoenix Android App.  Download the app "
"After El Chapo conviction, use seized $14 BILLION to build border wall?   "
How Vader imagines it's like for    and  on Gab. :D
"TREASURY DEPARTMENT FLOODING MARKET WITH BONDS
While biggest buyers of US debt shrink their Treasury holdings

"
"Michelle Obama brings his penis to The Grammys. 

#grammys #thegrammys #music #michelleobama #manwoman #penis #kek"
Keep red pilling everyone you know online and off one by one slowly but surely.
"Lou Dobbs on Twitter: ""#DTS – diGenova: From the beginning it was obvious dirty cop Comey never intended to investigate Hillary. This was confirmatory of the totally corrupt operation that was the Obama FBI &amp; DOJ. Hillary was guilty as hell. They knew it &amp; gave her a pass. #MAGA #TrumpTrain #Dobbs…  "
"#RalphNortham Humiliating Car Crash Interview. It was supposed to tamp down the criticism after his scandal, it went from cringeworthy to bad to even worse. They didn't ever discuss his support of murdering babies though.

#RalphNorthamBabyKiller 

"
"Hello Tuesday.
Citadel of Dinant - Belgium"
Abducted Ohio State University student and suspected abductor killed in police shootout | Fox News 
"Just read about this crime over on Daily Stormer. It's amazing how much of us Whites get victimized by these filthy, violent apes and nobody ever hears a damn thing. I'm sick of it."
"For those of you who are afraid to share my post because you think a SWAT team will come knocking on your door that is crazy!

SWAT teams don't knock!😂"
With anyone (((they))) can weaponize against us. Boycott hollyweird.
"The Banker's Veto, How Patreon Silences Dissent

"
“Oooo ooo that smell”
"GET THAT STUPID RAG OFF YOUR HEAD THEN, BITCH"
"Ona Judge, George Washington's fugitive slave  via 

A noteworthy tidbit I picked up from this is that even some Quakers owned African slaves"
"UNIVERSAL BACKGROUND CHECKS ARE BACK
The one size fits all nature of DC politics is starting to take its toll on the country in practically all facets of public policy, so it’s time to consider other alternatives

"
The same DEMented pets of globalists now claiming to be about religious freedoms and equality online only make sure that Christians can’t fight back when two certain religious groups bash on them. Mhmmm...
"Useless waste of air 😳 Don't make excuses for scumbags 😈 💩🔫💀
"
"A vote for Democrats is a vote for Satan 😈💩🖕
"
"Wouldn't this be a thousand times better than the Statue of liberty 😍😘🇺🇸👍
"
"These idiots are going to end up on the streets of San Francisco turning tricks 👄💦💵💉💊 and dying of OD's😒 Most of the whores are white girls 😄
"
"#LiberalsAreRetarded😵 Hahahaha 😅😂🇺🇸 Mark Dice is a national treasure 😎
"
Since Alexandria Ocasio-Cortez likes socialism so much I wonder if she will give me a blow job for a sandwich?
"GERMAN media tried to hide the fact that it was Muslims, NOT Germans, who pushed three German teens into the path of an oncoming train

Three German 16-year-olds  were pushed onto the tracks of a station in Nuremberg, directly in front of an approaching train. Two of them were run over by the train and killed instantly. The alleged perpetrators of this heinous act were two older teenagers with a migrant background: One is of Turkish Muslim origin and the other is an Albanian Muslim of Greek origin.

"
even our beautiful FLOTUS is guilty of a #HATCRIME
