The EU must burn.
Body art!
Serge Marshennikov
Fight for what you love ❤
"Sometimes revolution is not what you think it is...

Revolt against the modern world 🤚🏻"
We need alot of rope.
Ii bet it did...
"“Germanic is: Courage, heroism and Valhalla. Not humility, contrition, guilt of sin and otherworldliness through prayers and hymns. 

Image from Golgatha des Nordens (Golgatha of the North[land]) by Werner Graul. Published by Wölund Verlag in Erfurt in 1937. The book depicts the negative impact that Christianity has had on northern Europe, from the early days of forced conversion and mass baptism, and onward to the Reformation and the war between Protestants and Catholics.”"
Jewish supremacists destroys nations from within.
Defend her ❤
Alfheim
Asgard
"Trump: bla bla blaaa muh holocaust survivors blaaa bla bla blaaa anti-semitism bla blaaaa stop evil fascists BLA BLAAA we need ENDLESS migration bla blaaaa we beat the evil evil EVIL germans in WW2 blaa blaaa bla bla bla........

America is lost."
Don't be a sheep.
Dalai Lama is against white genocide - be more like Dalai Lama
"Modern man has not only to fight against materialism, but must also defend himself from the snares and allures of false supernaturalism. His defense will be firm and effective only if he is capable of returning to the origins, of assimilating the ancient traditions, and then of relying upon the ascesis to carry out the task of reestablishing his inner condition. For it is through this that these traditions will reveal to him their deepest and perennially real content and show him, step by step, the path. 
Julius Evola,"
PRO-LOCAL ANTI-GLOBAL !
"High IQ among whites, if not accompanied of good character, psychological introspection, nobility of spirit and a sense of honor is worthless.

Rudolf Kommos"
#defendthe2nd
The forest always provides 🌲
Bump those numbers up!
I'm very peaceful.
Europeans 🤚🏻
Christianity turned europeans into tame house cats.
We are the north! The people of the ☀️
Just another christian spewing his hate 👍🏻
"“History is always written by the winners. When two cultures clash, the loser is obliterated, and the winner writes the history books-books which glorify their own cause and disparage the conquered foe. As Napoleon once said, ‘What is history, but a fable agreed upon?”

— Dan Brown, The Da Vinci Code"
❤
Culture Is The New Sexy! #BZD #WPWW #14Words #MarryOnlyWhite #NaturalWhite #WhiteForAll #DoTheWhiteThing #CultureIsTheNewSexy #SupportWhiteRace #KeepItWhite #InBloodWeTrust #WhiteIsRight #StopWhiteGenocide #LoveWhite #FourTeenWords #WhiteResistance #WhiteLiveMatters #WhiteIsBeautiful
Do it right! Date and marry WHITE! #WhiteIsRight #BZD #WPWW #14Words #MarryOnlyWhite #NaturalWhite #WhiteForAll #DoTheWhiteThing #SupportWhiteRace #KeepItWhite #InBloodWeTrust #StopWhiteGenocide #LoveWhite #FourTeenWords #WhiteResistance #WhiteLiveMatters #WhiteIsBeautiful
Allied War Crime! Dresden 13.-15. February 1945 #BZD #Dresden #1945Germany #AlliedWarCrimes #BombsOnGermany #WW2 #NoMoreWar #250000Dead
Make Europe Great Again! #MEGA #BZD #WPWW #14Words #OnlyWhiteIsRight #NaturalWhite #WhiteForAll #DoTheWhiteThing #SupportWhiteRace #KeepItWhite #InBloodWeTrust #StopWhiteGenocide #LoveWhite #FourTeenWords #WhiteResistance #WhiteLiveMatters #WhiteIsBeautiful
"Truth, Beauty, Devotion, and Tradition are the best inoculations against the poisons of modernity! #BZD #WPWW #14Words #OnlyWhiteIsRight #NaturalWhite #WhiteForAll #DoTheWhiteThing #SupportWhiteRace #KeepItWhite #InBloodWeTrust #StopWhiteGenocide #LoveWhite #FourTeenWords #WhiteResistance #WhiteLiveMatters #WhiteIsBeautiful"
