"Grandpa draws parallels between the pharisees and the modern day church in this week's episode.

"
"Carolyn Yeager joins Sven Longshanks to discuss her research into the first world war, the sinking of the Lusitania and how it ties in with the Jussie Smollett case.

"
"NEW Daily Nationalist with Carolyn Yeager &amp; Grandpa's Church of the Lampshade, plus The Heretic's Hour, Mark Collett, Jared Taylor &amp; E Michael Jones on Radio Aryan today:

"
"Loads of good news from Britain this week as Sven Longshanks reviews Tommy Robinson’s Panorama protest and documentary, along with a fantastic speech by Paul Golding, before highlighting a win against anti-White racism in the Police. 

"
"Sven Longshanks reviews Tommy Robinson’s Panorama protest and documentary along with a fantastic speech by Paul Golding, before highlighting a win against anti-White racism in the Police.

"
"Sven Longshanks looks at de-facto censorship on drawing cartoons that depict Jews or Negroes, after a cartoonist received credible death threats for a realistic drawing of Serena Williams.

"
"NEW Daily Nationalist &amp; Aryan Britannia with Sven Longshanks, plus Carolyn Yeager's Heretic's Hour, Morgoth, Mark Collett &amp; Frodi Midjord's This Week on the Alt-Right on Radio Aryan today:

"
"Daily nationalist news, historical revisionism, light-hearted commentary with Grandpa Lampshade &amp; in-depth study with Dr Johnson, plus all the latest music with Eternal Reich &amp; the best podcasts from elsewhere available for free at Radio Aryan:

"
"we will rise

"
"Sven Longshanks and Dennis Wise continue looking at links between the Vatican and the Fascist governments of Europe.

"
"LIVE RADIO with Sven Longshanks &amp; Dennis Wise in Truth Will Out Radio in 10 minutes at Radio Aryan:



"
"Sven Longshanks looks at a new drive to replace White people at a much faster rate in the UK Police force, by creating new laws to allow anti-White racism.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus Carolyn Yeager's Heretic's Hour, Radio Europa, E Michael Jones, David Irving, Brutus the British &amp; Morgoth on Radio Aryan today:

"
"This week, Andy Donner reruns the Valentine’s Day 2013 episode, because it’s appropriate to the day and it was a genuinely fun episode.

"
"Sven Longshanks and Dr Matthew Raphael Johnson discuss the important points from President Putin’s State of the Nation speech to the Russian Federation.

"
"LIVE RADIO with Sven Longshanks &amp; Dr Matthew Rapahel Johnson discussing Putin's State of the Nation speech on The Daily Nationalist in 10 minutes at Radio Aryan:



"
"NEW Daily Nationalist with Dr Johnson &amp; Radio Free Northwest Classics with Andy Donner, plus Brutus the British, Jay Dyer &amp; The Nordic Frontier on Radio Aryan today:

"
"It’s the folk flavoured music’s turn this week to get a few extra plays, but first Reich has the best of the latest synthwave, ambient, dark disco, punk, hardcore and metal to play for us.

"
"Dr Matthew Raphael Johnson looks at GULag survivor and Slav Nationalist Vasyl Stus this week, who unfortunately died just a few years before the iron curtain fell.

"
"Sven Longshanks suggests that the only ‘hate’ crime Whites ever really commit is putting stickers up, while Black and Jewish hoaxers carry out the majority of allegedly violent ones themselves.

"
"NEW Daily Nationalist with Sven Longshanks, Eternal Reich's Audio Insurgency &amp; The Orthodox Nationalist with Dr Johnson, plus Carolyn Yeager's Heretic's Hour, Morgoth, Henry Wolff &amp; Paul Kersey on Radio Aryan today:

"
"Grandpa returns, with his new 'Church of the Lampshade' show, looking at what makes for a winning team.

"
"Sven Longshanks looks at Meghan Markle’s calls to ‘decolonise’ UK universities, a change in Denver law to allow immigrants to defecate on the streets &amp; an explanation for why they do this wherever they go.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Grandpa's Church of the Lampshade, plus Carolyn Yeager's Heretic's Hour, Michael Walker &amp; E Michael Jones on Radio Aryan today:

"
"Sven Longshanks and Max Musson discuss the communist brainwashing of schoolchildren into climate change striking and the flurry of female jihadis wishing to be let back into Britain.

"
"Sven Longshanks looks at the Tommy drama, pressure to put negroes on bank notes, trannie perverts and threats of militias and civil war from the French Yellow Vests.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Aryan Britannia with Max Musson, plus Carolyn Yeager's Heretic's Hour, Mark Collett, Kevin MacDonald, Richard Duchesne &amp; E Michael Jones on Radio Aryan today:

"
Listen to this:
"This narration is taken from a book about the OTO called ‘Blood Upon The Altar’ by Craig Heimbechner, which exposes it for being a thoroughly Jewish organisation.

"
"Feminism is nothing other than the hatred of men and any man subscribing to it has signed his own death wish.

"
"Nothing changes, if a woman kills her husband everyone will be saying that he must have treated her badly, but if a man kills his wife, he will be locked up for life and disowned by all the other men, regardless of any mitigating circumstances.

"
"E Belfort Bax was one of the few people to write about the threat men faced from feminism over 100 years ago.

"
"Top quality Nationalist radio to keep you informed and inspired at Radio Aryan - New podcasts daily, simulcasts of David Duke and Stormfront, classic revisionist history from Carolyn Yeager &amp; all repeated at the weekends on our stream:

"
The Jews are murderers and liars. I got this from Jesus. 
