My profile pic is me stunnin'  Council on American-Islamic Relations
"Basically yes, you're right.

Tom Metzger used to tell us over and over from time to time that if you are driving down the road or in public and you see a black guy beating on a White woman, DO NOT GET INVOLVED.

Usually they are a #mudshark who willingly signed up for it,so he said don't try to be a hero in that situation."
"My take on #YellowVests :

It's some of our #RightWing and #ProWhite ppl, but from I observe online, #YellowVest protests have attracted multiple political factions,and it has spread over international borders.

Which makes me suspitious.

Bc #communism as far back as the #FrenchRevolution or the #Jacobins was popping up in different parts of the world.Thats a clue to tell us that #communist revolutions and #ColorRevolutions are not organic,but a #globalist conspiracy by #bankers and intl jewry and their #masonic friends

#Trotskyite ideology is about the #PermanantRevolution

So we need to look at who is really trying to disturb the peace."
Infinity groid
#chimpout
"Drinking horn made from glass, discovered in Laitila, Finland.

4th century CE.

Probably made in Rhine, Germany"
"If you know anything about me during ""WN1.0"" you understand I'm as far from commie as can be.

I did 56months in the Federal prison system for the White cause and it has never broke me. I try to keep a low profile so I don't get blamed for anything and end up in trouble again"
That's all bullshit.When have I ever even interacted with you online?
This is #commie #pravda if ive ever seen it
"Jew York Slimes is Jew to got news.

Jewish Daily Forward is jew-to-jew news."
"So do I.

110 and #NeverAgain"
"I love what you just wrote comrade, bc the #goyim need to understand the #Jews have had an actual ancient, codified text detailing their plan to destroy/eenslavethe whole world.

Jews always uses #DoubleSpeak

Destroying and enslaving the planets goy is (((them))) trying to repair and mold the world so best serves intl #jewry

#TikkunOlam

#JewishSupremacy"
"Uncle A was a talented artist/painter.

#Hitler knew good art when he saw it.

During #Weimar Republic, negative #ModernArt that brought the spirit down was very popular.

Adolf Hitler waged war against #DegenerantArt"
"Blacks are like Jews.They can be violently #racist and hateful while accusing White men and women of #racism even when we make a mild comment that really is not all that racist.

#Hypocrisy"
"Still don't believe in a #Jewish plot to kill the best of the #Goyim ???

#Illuminati #UN #UnitedNations #AgendaTwentyOne #Depopulation #KalergiPlan

(((They))) are trying to kill us right in your face like this

#WhiteGeNOcide"
So you're saying she was the best of both worlds:)
Repost on #Gab and retweet #Twitter if you find less than &gt;2% of the #American population is disgustingly over represented
"How much of a #Cohensidence

My wife and I were smoking cigarettes and eating in the grass someplace in town the day before yesterday and we were talking about White inventions v.s. black invention myths and she told me about Marie Curie bc I never heard of her."
"#JewishPrivilege

Idgaf about #Palestine or #palestinians

I don't think #DavidDuke does or any fellow #WhiteNationalist friends

It's just a #TalkingPoint to expose #Israel and the truth of #JewishSupremacy"
"Trust my word #ProWhite guys and gals that some of the VERY BEST #irl #activism you can easily do is make phone calls to #Cucked institutions such as school officials or Law Enforcement etc.

I have had somebody call Florida Department of Children and Families on us for being outspoken #Nationalists bc I have alot of racial tattoos.We homeschool my youngest This fag couple needs a case opened up on them.



Just a few weeks ago I got together with my friend Christopher Drake from #NSM in a hotel room.We called a series of #AntiWhite numbers we each individually compiled until we got finished.

It's little things that count."
"#jewish created fantasies mock the White person.

Especially the White male.

He has to take a back seat

He listens when #POC is talking

He checks his privilge,sexism,and chauvinism

All bc muh #Holocaust"
#Conservatives are #cucks
"#Racist Periodic table 

Pretty cool"
Itemized Timeline of Criminal #GayMafia
"#Aryan

#ThisTimeTheWorld

#GLR"
Hey I want that!
"#Norway prison is better than being well off in #Sudan

Ever seen the inside of a #Scandinavian prison?

And Varg Vikernes maxed out and did only 21years.

I'd choose a 21 year ""life"" sentence in #Norwegian prison over freedom in The Sudan"
For #BritFam
Rape #HateFacts
Nice Goebbels gif comrade
"Peak #POZ

My mom thought Star Trek Deep Space Nine and Voyager was too filthy for me to watch at age 14.

Meanwhile at age 14 I was banging gothic wimmin in their mid and late 20s"
"#ClownWorld straight to you #goy

#InfinityNegro"
#SixMillion
"#Zion Crime Factory

#Israel is a base for criminal intl #jewry"
#ItsOkToBeWhite
"That thing looks hideous.

I have a 51 year old Scot-American citizen I have a young daughter with and a 50 year old Le56%er I have a grown daughter with.

I don't need a backhole tranny"
#UN #UnitedNations #Globalism #ZOG #WorldGovernment #NWO #NewWorldOrder #GloboHomo
"#Jewry has had an actual, codified ancient text called #TikkunOlam

A plan to destroy and enslave the entire world.

Which means,in #Jewish #DoubleSpeak Repairing The World into the shape that tailors itself best to #Judaism

It you don't believe me Google #TikkunOlam"
#Jewish sobb story
