Nice mask buddy! Sure don't work without it on ;)
"Do your part White Man!

Join the New Awakening! 

www.thenewawakening.org/path.html

 ^^^^ Learn about our Plan here ^^^^

    

 "
"Embrace Nature!

Embrace Family!

Embrace The New Awakening!

 

^^^^^^^ Learn about our plan here ^^^^^^^

       "
"The New Awakening is getting into the Christmas spirit!

Embrace The New Awakening!

 

   ^^^^^Take a look at our Plan here^^^^^

    "
"Swedish alt-righter fined for hate crime after posting ""racist"" memes in private groups on facebook and VK.

More and more Swedes are reported for hate crimes after posting ""wrong"" views online.

#ZOG

(in swedish) "
"They have always been professional and stuck with facts, I don't recall ever seeing them even getting close to threatening or inciting violence. 

Smells like Jew."
"you probably know how much i hate video and passive consumption generally, bear this in mind when i ask of you

i recommend you all take one mocha and about four cigarettes and watch the entirety of derek's vid about the nature of the business here at gab dot com

and then let me know what you think

thanks"
"HOW MANY DAILY ACTIVE REGISTERED USERS, LIAR?"
I can't access archive.is
"It seems as though we've been disappeared,"
It doesn’t take much to be labeled as “anti-Semitic” these days.
 Why is the New Awakening group no longer here?
 What's the reason for the removal of 'New Awakening' group on gab? Thanks in advance.
"Hi  

What's happened to The New Awakening group?"
"

Why is The New Awakening group gone? 900 members, existed before Gab went down, gone now. This was its url:

"
meanwhile on twitter
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your nation - Step 1 of 5."
"Come home. 

Join the New Awakening! 

www.thenewawakening.org"
"An American sunset is a rising moon.

"
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your Family - Step 5 of 5."
"A quote from White Power by Rockwell on the overwhelming and ever-expanding ""Black Plague"""
"Don't send your children to public or private schools to be taught by marxists and surrounded by subhumans. Homeschooling requires more effort, but it is beyond worth it in the long run. ""He who controls the youth controls the future"" and we can't let them poison our children any longer. "
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your Family - Step 4 of 5."
"Another quote from Rockwell's White Power. He explains how Jews turn blacks, which normally are too unintelligent to revolt in any organized fashion, into an easily manipulated and directed savage mob. If you have not read this book, you can find it here: "
A quote from Rockwell's White Power explaining the Jewish strategy of using both Capitalism and Communism to cause discord and tension between the wealthy/manager class and the working class. Hail Victory!
"Our entire future resides on hope. Hope for our race and hope in our ability as white men to see our race through. Never let the seeds of despair and the ""blackpill"" take root. Tear them out wherever you find them. Join the New Awakening and make sure this fire of hope and willpower blazes bright for our struggle to come! "
Fighting for an ethnostate in the PNW is the first National Socialist offensive since 1941.
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your Family - Step 3 of 5."
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your Family - Step 1 of 5."
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase Two: Building your Family - Step 2 of 5."
"It is astounding to hear from the masses of cowardly and lazy whites, that proclaim some excuse for them to not migrate to the blessed Pacific Northwest.
Surely, it is here, of all places, that we can call ""God's Country"". "
As the rest of the country turns brown the Homeland remains green.
"It is important to remember that your struggle is always as important as the rest of your people. The salvation of the white race will never ""just get done"" or by someone else. Action always starts with you and your will to power. Join the New Awakening and mold that action into the spear that will drive our destiny!"
"You're assuming that National Socialism means using other people's money as it would in communism but that's false. The ""socialism"" in National Socialism means putting the race first, before all else. Whether or not you're taxed some amount is so unbelievably unimportant that it's not even on my radar."
"Too much energy is wasted on bitterness toward fearful people who abandon us to a life of constant struggle. Never forget how much they have to lose. We're here not because of some miracle of intelligence or divine will, be humble. It's our job to grit our teeth and accept the burden of building an organization that can offer more."
Cloudy days are for white people.
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase One: Building Yourself - Step 2 of 3."
"For the next 13 days, we'll be releasing our 13 step guide to give you a basic understanding of our intentions. This plan is currently in action across all four states of the Pacific Northwest. The path of the individual will naturally differ, and following these steps will ensure your path to Final Victory.

Phase One: Building Yourself - Step 3 of 3."
It is of beyond vital importance that whites come together to the best of our abilities. The Northwest holds the greatest benefits to the success of that coming together. The New Awakening holds the greatest ability to achieve that Northwest Homeland. Join the New Awakening and work towards what you know is just and the best course of action for your race!
Whites Only.
"""Let us meet with bravery whatever may befall us. Let us never feel a shudder at the thought of being wounded or of being made a prisoner, or of poverty or persecution. "" -Seneca. The white race has and must weather every challenge thrown against us. Join the New Awakening and be ready to beat back the storm and pull your race into freedom!"
The Traitor among us is the jew and it's rotten-soul slaves.
"The New Awakening is proud to present the launch of our website.



     
              "
From White Power by George Lincoln Rockwell. Hail Victory!
"We have the potential to change the world; The opportunity to save our people. Come home, White man!"
"A new nation requires farmers, engineers, doctors, architects, electricians, road builders &amp; heavy equipment operators, construction trades, food processing and packaging skills, teachers, &amp; manufacturers. We must bring to the Northwest serious adult men &amp; women who are coming to build a new nation, not drink beer &amp; scream White Power!

-The White Book"
Looks like the kikes can't resist starting their indoctrination in kindergarten.
"""It is not the evil itself which is horrifying about our times - it is the way we not only tolerate evil, but have made a cult of positively worshipping weakness, depravity, rottenness and evil itself."" -White Power, George Lincoln Rockwell."
The time  is NOW for me to get off my DEAD ASS and become ACTIVE again! This laziness and compliancy I have been ”under” STOPS TODAY!!! 😠  FIGHT THE JEW!!!!
Give us a second thought when you want to build something new.
"Biggest manufacturers are aerospace (like Boeing and Honeywell). Main hubs are Everett and Kent, which are fairly affordable and nearby Seattle. Drydocks and medical manufacturing are another good bet. 
"
"""Rather than whine and moan, because everybody's doing everything wrong (which is what right-wingers usually do), we should look closely, and analyze, and reinstitute what our forefathers did right."" -Harold Covington, RFN 12/12/13"
"The leaves are changing here in the Homeland. 

"
"Nihilism is Apathy, and Apathy is death! Our people are our most precious possession, and if we cease caring for them, the white race will be lost to history.

Join us in the struggle for our people!

TinyURL.com/NewAwakeningRiot"
"True freedom comes through the expulsion of Jewish influences and the survival of our race. While under Jewish rule, we are at the mercy of demons. We do not have true freedom, and we  never will, until we remove those parasites from every part of our society."
"The homeland won't build itself! Every moment wasted on video games, every moment your hands are left idle, is a moment wasted, that could have been used to learn new skills and improve yourself. Build yourself, so that you may build our future! Hail Victory!"
"George Lincoln Rockwell was a man of action. He is a hero of the white race and the father of American national socialism.

God bless George Lincoln Rockwell, let the Deeds of this man inspire the fanatics of the tomorrow."
