"You might be an asshole if....

Correction: You are a FUCKING ASSHOLE"
"

Texas nigger sets white women on fire. Media blackout, as usual. Happens regularly, never covered.

Video at the linked page.

""Uploaded February 22, 2019 Palestine (Texas) police are searching for a suspect who they say duct-taped a store clerk and a customer, then set the customer on fire during a robbery at a convenience store. The robbery occurred Thursday morning at the Pit Stop on North Link Street. According to Chief Andy Harvey, the suspect entered the store armed with a handgun. He is shown on surveillance video asking the store clerk for something from behind the counter, and when her back is turned, he is shown pulling a handgun out. He is then shown forcing the clerk into a corner behind the counter. The video also shows the man going to the door of the store, and physically bringing a female customer into the store. He is shown duct-taping her behind the counter. He then douses the women with fluid, and lights the customer on fire. Harvey said the clerk was able to help the customer get her burning shirt off. The customer was transported to a local hospital for treatment, and was then taken to a Dallas hospital for treatment. “The suspect … decided to pour lighter fluid on the cashier and the customer. Right before he left, he lit a match and lit them on fire,"" """
"Bosnian Security Minister Dragan Mektic has issued a warning that about 70,000 nonwhite invaders currently camped out in Greece are preparing for a major assault on Western Europe via the Balkan Route.

"
"The Office for Standards in Education, Children's Services and Skills is arguably the single most destructive, malevolent, nation-wrecking Government agency in Britain. Aimed at improving standards of education, it was quickly weaponized against the native population,

"
"Surprise surprise.

BUSTED! Obama’s Daughter Has Secret Facebook Page Filled With Anti-Trump Messages

"
"In the Wake of the #Smolletthoax, Time to Reexamine the Charlottesville ‘Car Assault. Was it a Staged Deception?

"
"National Socialism – The Natural Ideology of the Nordic people

IDEOLOGY

The leader of the Nordic Resistance Movement responds to those who slander National Socialism, explaining why the ideology is the obvious and natural path to follow for the Nordic people – philosophically as well as politically.

"
Here he is with his possible cohorts.
"dont be fooled

the democrats planned setup and helped execute another black hate crime like gov of virginia Northam

notice the dems running for President jumped onboard with ready statements

smollett screwed it up"
"EXCLUSIVE: Leaked Photos Show U.S. Border Facility Overwhelmed by Migrants

"
"I can certainly appreciate that Americans are angry that their money was spent on this political fiasco, but good luck getting that money back unless you’re going to push for impeaching Democrats that were behind the witch hunt.

"
"The yellow vests are rallying for the fourteenth straight weekend in Paris and other major French cities on 16 February.

"
"The gunman in a deadly shooting spree at a manufacturing warehouse in Aurora, Ill., where five employees were killed and five officers were wounded Friday, was set to be fired by the company

"
"Judicial Watch: Docs Reveal FBI Cover Up of ‘Chart’ of Potential Violations of Law by Hillary Clinton

"
"Fake Refugee Nonwhite Invasion of Europe tops 7 Million since 2006

"
"As Washington, D.C. debates a budget deal that would get President Trump barely 1/20th of the border wall funding, and with significant strings attached, two local Texas lawmakers are proposing dipping into the state’s ""rainy day"" fund

"
"New York: Diplomat’s Muslim husband has immunity revoked but avoids jail after domestic assault

"
"Italy: Anti-Third World Invasion Parties Win 92% of Vote, Smash Race Traitor Parties

"
"YouTube has announced that it will no longer recommend videos that “come close to” violating its community guidelines, such as conspiracy or medically inaccurate videos…

"
"Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia

"
"""Bucharest tonight.
The Romanians demand the resignation of the government. A people who take their destiny in hand. Impressive."" - Feb 6th 2019

The GREAT AWAKENING WORLD WIDE!!! Globalism is DEAD!!!!

One of the biggest demonstrations in Romania since the 1989 revolution took place on 05 February 2017. Romania has seen its biggest protests since its bloody revolution in 1989, as hundreds of thousands of demonstrators took to the streets all over the country to show their objection to a Government emergency decree they claim will harm the country’s anti-corruption fight.

""Torches"" moment. At 09:00PM Romanian protesters shone torches on their phones at an anti-corruption rally in the capital Bucharest, lighting up Victory Square.

Aerial View from Lascar Catargiu Boulevard.

77"
