WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
shooting,1,NOUN,TRUE,,,,,,,,,FALSE
globalist,2,NOUN,TRUE,,,,,,,TRUE,,FALSE
fag,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
dirty,2,ADJ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
canadian,0,NOUN,,,,,,,TRUE,,,FALSE
rape,0,VERB,TRUE,,,,,TRUE,,,,FALSE
ignorant,2,ADJ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
zog,2,NOUN,,,,,,,,TRUE,TRUE,FALSE
kick,1,VERB,TRUE,,,,,,,,,FALSE
christian,0,ADJ,,,,,,,,FALSE,TRUE,FALSE
fuckin,3,ADJ,,TRUE,,,,,,,,FALSE
degenerate,2,ADJ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dick,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
drug,0,NOUN,TRUE,,,,,,,,,FALSE
libtard,4,NOUN,,,,,,,,TRUE,,FALSE
jewish,0,ADJ,,,,,,,TRUE,,TRUE,FALSE
communism,0,NOUN,,,,,,,,TRUE,,FALSE
fucker,2,NOUN,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
goyim,2,NOUN,,,,,,,,,TRUE,TRUE
troll,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
muslim,0,ADJ,,,,,,,,,TRUE,FALSE
globalists,2,NOUN,TRUE,,,,,,,TRUE,,FALSE
pathetic,2,ADJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
chimp,3,NOUN,,,TRUE,,,,,,,FALSE
belief,0,NOUN,,,,,,,,,TRUE,FALSE
qtard,4,NOUN,,,,TRUE,,,,,,FALSE
torture,0,NOUN,TRUE,,,,,,,,,FALSE
idiot,3,NOUN,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
israel,0,NOUN,,,,,,,,TRUE,TRUE,FALSE
pos,4,NOUN,TRUE,TRUE,TRUE,,,,,,,FALSE
hypocrite,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
coward,3,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
enemy,2,NOUN,TRUE,,,,,,,TRUE,,FALSE
faith,0,NOUN,,,,,,,,,TRUE,FALSE
filth,3,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
foreigner,0,NOUN,,,,,,,TRUE,TRUE,,FALSE
cunt,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
nationalism,1,NOUN,,,,,,,,TRUE,,FALSE
garbage,2,NOUN,TRUE,,,,,,,,,FALSE
jewess,2,NOUN,,,,,,,,,TRUE,FALSE
violence,0,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ass,2,NOUN,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
arabs,0,NOUN,,,,,,,TRUE,,,FALSE
